Time  Force
3.037  1.0
3.065  1.0
3.094  1.0
3.143  1.0
3.168  1.0
3.192  1.0
3.214  1.0
3.24  1.0
3.268  1.0
3.291  1.0
3.312  1.0
3.334  1.0
3.347  1.0
3.381  1.0
3.396  1.0
3.417  1.0
3.437  1.0
3.461  1.0
3.492  1.0
3.52  1.0
3.539  1.0
3.561  1.0
3.582  1.0
3.594  1.0
3.618  1.0
3.649  1.0
3.674  940.0
3.689  940.0
3.707  940.0
3.727  940.0
3.742  940.0
3.769  940.0
3.785  940.0
3.801  940.0
3.822  940.0
3.831  940.0
3.856  940.0
3.87  979.0
3.89  979.0
3.908  979.0
3.923  979.0
3.948  979.0
3.958  979.0
3.976  979.0
3.993  979.0
4.01  979.0
4.026  979.0
4.048  979.0
4.058  979.0
4.079  984.0
4.093  984.0
4.12  984.0
4.138  984.0
4.174  984.0
4.19  984.0
4.206  984.0
4.232  984.0
4.242  984.0
4.259  984.0
4.285  986.0
4.299  986.0
4.316  986.0
4.333  986.0
4.357  986.0
4.376  986.0
4.4  986.0
4.414  986.0
4.428  986.0
4.472  988.0
4.481  988.0
4.501  988.0
4.52  988.0
4.535  988.0
4.551  988.0
4.568  988.0
4.587  988.0
4.608  988.0
4.618  988.0
4.638  988.0
4.652  988.0
4.669  988.0
4.695  991.0
4.705  991.0
4.725  991.0
4.745  991.0
4.76  991.0
4.783  991.0
4.795  991.0
4.81  991.0
4.829  991.0
4.849  991.0
4.867  991.0
4.884  991.0
4.898  991.0
4.93  991.0
4.954  991.0
4.982  991.0
5.008  991.0
5.016  991.0
5.035  991.0
5.051  37.0
5.068  37.0
5.091  37.0
5.113  37.0
5.131  37.0
5.141  37.0
5.159  37.0
5.176  37.0
5.244  37.0
5.254  37.0
5.27  37.0
5.301  37.0
5.32  37.0
5.34  37.0
5.347  37.0
5.366  37.0
5.384  37.0
5.403  37.0
5.421  37.0
5.433  37.0
5.449  37.0
5.468  37.0
5.486  37.0
5.499  37.0
5.516  37.0
5.532  37.0
5.549  37.0
5.566  37.0
5.582  37.0
