Time  Force1  Force2
13.547  616.0  960.0
13.547  616.0  960.0
13.547  616.0  960.0
13.547  616.0  960.0
13.547  616.0  960.0
13.547  616.0  960.0
13.547  616.0  960.0
13.547  616.0  960.0
13.547  616.0  960.0
13.547  616.0  960.0
13.547  616.0  960.0
13.547  616.0  960.0
13.547  616.0  960.0
13.547  616.0  960.0
13.547  616.0  960.0
13.547  616.0  960.0
13.547  616.0  960.0
13.547  616.0  960.0
13.547  616.0  960.0
13.547  616.0  960.0
13.547  616.0  960.0
13.547  616.0  960.0
13.547  616.0  960.0
13.547  616.0  960.0
13.547  616.0  960.0
13.547  616.0  960.0
13.547  616.0  960.0
13.547  616.0  960.0
13.547  616.0  960.0
13.547  616.0  960.0
13.547  616.0  960.0
13.547  616.0  960.0
13.547  616.0  960.0
13.547  616.0  960.0
13.547  616.0  960.0
13.547  616.0  960.0
13.547  616.0  960.0
13.547  616.0  960.0
1.598  620.0  1003.0
0.0020  81.0  0.0
0.0040  5.0  0.0
0.013  0.0  0.0
0.013  0.0  0.0
0.026  592.0  0.0
0.045  586.0  1023.0
0.078  204.0  797.0
0.078  204.0  797.0
0.093  325.0  0.0
0.108  820.0  0.0
0.126  735.0  1023.0
0.163  630.0  1023.0
0.183  438.0  1023.0
0.183  438.0  1023.0
0.201  313.0  1023.0
0.22  343.0  886.0
0.22  343.0  886.0
0.239  401.0  478.0
0.272  447.0  0.0
0.288  880.0  62.0
0.288  880.0  62.0
0.308  759.0  1007.0
0.326  683.0  1023.0
0.345  672.0  1023.0
0.363  510.0  1023.0
0.363  510.0  1023.0
0.401  325.0  1023.0
0.419  382.0  643.0
0.439  430.0  275.0
0.454  462.0  0.0
0.454  462.0  0.0
0.47  765.0  0.0
0.487  803.0  879.0
0.525  659.0  1023.0
0.525  659.0  1023.0
0.543  460.0  1023.0
0.562  326.0  1023.0
0.581  355.0  907.0
0.581  355.0  907.0
0.6  408.0  496.0
0.632  456.0  0.0
0.65  884.0  57.0
0.65  884.0  57.0
0.668  766.0  1003.0
0.687  689.0  1023.0
0.724  519.0  1023.0
0.743  375.0  1023.0
0.761  330.0  1023.0
0.761  330.0  1023.0
0.781  385.0  659.0
0.815  462.0  0.0
0.815  462.0  0.0
0.83  760.0  0.0
0.848  804.0  871.0
0.867  710.0  1023.0
0.885  670.0  1023.0
0.885  670.0  1023.0
0.905  462.0  1023.0
0.942  353.0  919.0
0.96  408.0  507.0
0.978  445.0  147.0
0.978  445.0  147.0
0.994  457.0  0.0
1.068  677.0  1023.0
1.087  697.0  1023.0
1.087  697.0  1023.0
1.107  720.0  1023.0
1.146  772.0  1023.0
1.186  743.0  1023.0
1.246  664.0  1023.0
1.265  633.0  1023.0
1.285  609.0  1023.0
1.305  583.0  1023.0
1.326  564.0  1023.0
1.326  564.0  1023.0
1.345  700.0  1023.0
1.364  650.0  1023.0
1.386  610.0  1023.0
1.405  745.0  1023.0
1.405  745.0  1023.0
1.425  683.0  1023.0
1.446  638.0  1023.0
1.466  772.0  1023.0
1.485  706.0  1023.0
1.485  706.0  1023.0
1.506  657.0  1023.0
1.526  621.0  1023.0
1.546  756.0  1023.0
1.546  756.0  1023.0
1.565  693.0  1023.0
1.586  649.0  1023.0
1.626  741.0  1023.0
1.646  684.0  1023.0
1.646  684.0  1023.0
1.667  637.0  1023.0
1.686  773.0  1023.0
1.707  707.0  1023.0
1.726  658.0  1023.0
1.746  622.0  1023.0
1.746  622.0  1023.0
