Time  Force1  Force2
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0010  0.0048875855  0.0
0.0030  0.0048875855  0.0
0.0090  0.0048875855  0.0
0.046  0.0048875855  0.0
0.07  0.0048875855  0.0
0.095  0.009775171  0.0048875855
0.108  0.0048875855  0.0
0.135  0.0048875855  0.0
0.161  0.009775171  0.0
0.176  0.0048875855  0.0
0.202  0.009775171  0.0
0.229  0.0048875855  0.0
0.243  0.009775171  0.0
0.27  0.0048875855  0.0
0.283  0.0048875855  0.0
0.311  0.0048875855  0.0
0.324  0.0048875855  0.0
0.351  0.0048875855  0.0
0.378  0.009775171  0.0
0.392  0.0048875855  0.0
0.418  0.009775171  0.0
0.432  0.0048875855  0.0
0.459  0.009775171  0.0
0.486  0.0048875855  0.0
0.499  0.014662757  0.0
0.527  0.009775171  0.0
0.594  0.009775171  0.0
0.621  0.009775171  0.0
0.621  0.009775171  0.0
0.662  0.009775171  0.0
0.662  0.009775171  0.0
0.689  0.0  0.0
0.702  0.014662757  0.0
0.743  0.014662757  0.0
0.77  0.0  0.0
0.797  0.0048875855  0.0
0.851  0.0  0.0
0.878  0.009775171  0.0
0.906  0.009775171  0.0
0.932  0.014662757  0.0
0.946  0.009775171  0.0
0.973  0.009775171  0.0
0.987  0.014662757  0.0
1.014  0.014662757  0.0048875855
1.029  0.009775171  0.0
1.029  0.009775171  0.0
1.073  0.0048875855  0.009775171
1.087  0.0048875855  0.0
1.117  0.014662757  0.019550342
1.145  0.009775171  0.0
1.16  0.014662757  0.019550342
1.175  0.009775171  0.039100684
1.204  0.009775171  0.009775171
1.204  0.009775171  0.009775171
1.218  0.009775171  0.024437927
1.248  0.0048875855  0.0
1.262  0.0048875855  0.0048875855
1.276  0.009775171  0.024437927
1.32  0.0048875855  0.019550342
1.32  0.0048875855  0.019550342
1.349  0.0  0.0048875855
1.363  0.0048875855  0.0048875855
1.408  0.0048875855  0.0
1.408  0.0048875855  0.0
1.437  0.009775171  0.019550342
1.452  0.0048875855  0.019550342
1.48  0.009775171  0.0048875855
1.495  0.019550342  0.024437927
1.51  0.014662757  0.0
1.539  0.04398827  0.0
1.554  0.12707722  0.014662757
1.586  0.38123167  0.0
1.601  0.4692082  0.0
1.617  0.601173  0.0
1.651  1.0361681  0.0
1.668  1.2707722  0.0
1.684  1.485826  0.0
1.718  1.4711632  0.0
1.734  1.5884652  0.0048875855
1.751  1.5835776  0.0
1.751  1.5835776  0.0
1.801  1.5640273  0.0
1.801  1.5640273  0.0
1.817  1.4907136  0.0
1.833  1.4662756  0.0
1.867  1.3049853  0.0
1.884  1.1730205  0.0
1.934  0.71847504  0.0048875855
1.95  0.6158358  0.0
1.966  0.38123167  0.0
1.997  0.29325512  0.0
2.028  0.10752688  0.0
2.028  0.10752688  0.0
2.06  0.05376344  0.0
2.105  0.024437927  0.0
2.119  0.014662757  0.0
2.119  0.014662757  0.0
2.162  0.0048875855  0.0
2.162  0.0048875855  0.0
2.178  0.009775171  0.019550342
2.206  0.0  0.0
2.236  0.0048875855  0.029325513
2.25  0.0  0.009775171
2.279  0.0048875855  0.019550342
2.293  0.0  0.039100684
2.309  0.0  0.009775171
2.337  0.019550342  0.0342131
2.352  0.0048875855  0.0342131
2.381  0.0  0.009775171
2.396  0.0048875855  0.024437927
2.424  0.019550342  0.0
2.441  0.11730205  0.0
2.456  0.14662756  0.0048875855
2.487  0.400782  0.0
2.504  0.69403714  0.0
2.521  0.84066474  0.0
2.553  1.368524  0.009775171
2.571  1.5200391  0.0
2.587  1.6129031  0.0
2.587  1.6129031  0.0
2.604  1.7741935  0.0
2.637  1.827957  0.0
2.654  1.8914956  0.0
2.67  1.9159335  0.0
2.704  2.0136852  0.0
2.72  2.0576735  0.0
2.753  1.9208211  0.0
2.77  1.8377322  0.0
2.787  1.7497556  0.0
2.82  1.461388  0.0
2.837  1.3538612  0.0
2.853  1.1974584  0.0
2.87  1.0654937  0.0
2.904  0.75268817  0.0
2.92  0.58651024  0.0
2.935  0.342131  0.0
2.966  0.200391  0.0
2.982  0.07331378  0.0
3.012  0.024437927  0.014662757
3.026  0.0342131  0.0
3.042  0.019550342  0.009775171
3.042  0.019550342  0.009775171
3.1  0.0048875855  0.029325513
3.1  0.0048875855  0.029325513
3.115  0.0048875855  0.04398827
3.129  0.0  0.029325513
3.159  0.009775171  0.048875853
3.189  0.0  0.039100684
3.204  0.009775171  0.019550342
3.218  0.014662757  0.04398827
3.249  0.0048875855  0.029325513
3.263  0.019550342  0.019550342
3.292  0.014662757  0.04398827
3.307  0.0048875855  0.009775171
3.336  0.019550342  0.029325513
3.35  0.014662757  0.024437927
3.38  0.014662757  0.0
3.394  0.019550342  0.014662757
3.423  0.039100684  0.0
3.439  0.048875853  0.0
3.468  0.039100684  0.0
3.483  0.048875853  0.0
3.5  0.05376344  0.0
3.5  0.05376344  0.0
3.545  0.048875853  0.0
3.56  0.06353861  0.0
3.56  0.06353861  0.0
3.592  0.07331378  0.0
3.607  0.11241447  0.0
3.622  0.15640274  0.0
3.654  0.26881722  0.0048875855
3.671  0.5278593  0.0048875855
3.687  0.7917888  0.0
3.721  1.9354838  0.0048875855
3.737  2.380254  0.029325513
3.755  2.737048  0.06353861
3.773  3.4164224  0.06353861
3.808  4.5601172  0.07331378
3.826  5.0  0.07331378
3.846  5.0  0.0684262
3.864  5.0  0.0684262
3.883  5.0  0.10752688
3.92  5.0  0.10752688
3.939  5.0  0.10752688
3.957  5.0  0.11241447
3.977  5.0  0.12218964
3.995  5.0  0.12218964
3.995  5.0  0.12218964
4.014  5.0  0.12218964
4.033  5.0  0.11241447
4.07  5.0  0.092864126
4.088  5.0  0.08308896
4.108  5.0  0.07820137
4.126  5.0  0.07331378
4.163  5.0  0.07331378
4.183  5.0  0.08308896
4.183  5.0  0.08308896
4.201  5.0  0.08797654
4.219  5.0  0.09775171
4.239  5.0  0.10752688
4.257  5.0  0.1026393
4.314  5.0  0.12218964
4.314  5.0  0.12218964
4.332  5.0  0.11241447
4.35  5.0  0.11241447
4.388  5.0  0.07820137
4.407  5.0  0.07331378
4.425  5.0  0.07331378
4.445  5.0  0.07820137
4.463  5.0  0.08797654
4.482  5.0  0.08308896
4.501  5.0  0.08797654
4.519  5.0  0.092864126
4.556  5.0  0.10752688
4.576  5.0  0.1026393
4.576  5.0  0.1026393
4.594  4.9853373  0.10752688
4.647  4.760508  0.0684262
4.665  4.657869  0.058651026
4.665  4.657869  0.058651026
4.682  4.6138806  0.07331378
4.701  4.57478  0.07820137
4.718  4.4037147  0.08797654
4.753  4.3352885  0.10752688
4.771  4.261975  0.09775171
4.789  4.217986  0.07820137
4.806  4.0762463  0.05376344
4.824  4.0518084  0.058651026
4.859  4.00782  0.0684262
4.877  4.0615835  0.07331378
4.894  3.9931574  0.07820137
4.93  3.8465297  0.07820137
4.946  3.9051807  0.04398827
4.964  3.9345064  0.0342131
4.981  3.914956  0.048875853
5.016  3.8367546  0.0684262
5.035  3.8709676  0.07331378
5.052  3.7536657  0.07331378
5.069  3.748778  0.05376344
5.103  3.9296188  0.0342131
5.103  3.9296188  0.0342131
5.121  3.890518  0.048875853
5.138  3.8856304  0.06353861
5.155  3.963832  0.0684262
5.191  3.9296188  0.0684262
5.209  3.9100685  0.05376344
5.225  3.9784946  0.039100684
5.242  4.0029325  0.039100684
5.277  4.0713587  0.06353861
5.295  4.125122  0.0684262
